Job Title,Company Name,Location,Skills,Date,Link
Django Developer,"Rehabitaire - Maadi, Cairo, Egypt 1 month ago","Maadi, Cairo, Egypt ",Experienced · 3+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · AWS · API · Django · Git · Information Technology (IT) · RESTful · Python,4 days ago,https://wuzzuf.net/jobs/p/igyZri08SA7M-Django-Developer-Rehabitaire-Cairo-Egypt
System Administrator Team Lead,"ECC Group - Nasr City, Cairo, Egypt 1 month ago","Nasr City, Cairo, Egypt ",Manager · 7 - 10 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · Business Administration · Odoo ERP · Python · Engineering · Network Administration · Administration · Information Systems,1 month ago,https://wuzzuf.net/jobs/p/vBODiIySSELa-System-Administrator-Team-Lead-ECC-Group-Cairo-Egypt
Website Development / AI Developer,"Avetti Commerce FZCO - Heliopolis, Cairo, Egypt 1 month ago","Heliopolis, Cairo, Egypt ",Entry Level · 1 - 2 Yrs of Exp · IT/Software Development · ecommerce · Programming Language · it · Web Development · Web · Information Technology (IT) · AI · CMS · WordPress CMS,1 month ago,https://wuzzuf.net/jobs/p/9SnZTiGwnKhf-Website-Development-AI-Developer-Avetti-Commerce-FZCO-Cairo-Egypt
Software Developer,"Nile University - Sheikh Zayed, Giza, Egypt 2 months ago","Sheikh Zayed, Giza, Egypt ",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Computer Science · Engineering · Information Technology (IT) · Java · MySQL · Programming,1 month ago,https://wuzzuf.net/jobs/p/HU9FLgcoyHX0-Software-Developer-Nile-University-Giza-Egypt
Data Analyst,"Confidential - New Cairo, Cairo, Egypt 2 months ago","New Cairo, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · Administration · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Data · Data Entry · Data Mining · Database · Engineering · Information Technology (IT),2 months ago,https://wuzzuf.net/jobs/p/l2JhewRjBoNv-Data-Analyst-Cairo-Egypt
Data Analyst,"London International Patient Services - Heliopolis, Cairo, Egypt 2 months ago","Heliopolis, Cairo, Egypt ",Experienced · 2 - 3 Yrs of Exp · Business Development · IT/Software Development · Analysis · Computer Science · Data Analysis · BI · Power BI · Python · SQL · Information Technology (IT),2 months ago,https://wuzzuf.net/jobs/p/s5BzCzLsEb7k-Data-Analyst-London-International-Patient-Services-Cairo-Egypt
Data Science Instructor,"EpsilonAI - Nasr City, Cairo, Egypt 2 months ago","Nasr City, Cairo, Egypt ",Experienced · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI),2 months ago,https://wuzzuf.net/jobs/p/YxSY0hsJcmQb-Data-Science-Instructor-EpsilonAI-Cairo-Egypt
"Software Engineer (React js, Django)","Dexi - Dokki, Giza, Egypt 2 months ago","Dokki, Giza, Egypt ",Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React.js · Redux · Django · React Native · REST · APIs · Git · Python,2 months ago,https://wuzzuf.net/jobs/p/U2YpJIZA7ruP-Software-Engineer-React-js-Django-Dexi-Giza-Egypt
Senior AI Engineer,"Lumin - Sheikh Zayed, Giza, Egypt 2 months ago","Sheikh Zayed, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · AI · Artificial Intelligence · Computer Vision · Machine Learning · TensorFlow · Python · Computer Science · Programming · PyTorch,2 months ago,https://wuzzuf.net/jobs/p/haTCZJoRemW2-Senior-AI-Engineer-Lumin-Giza-Egypt
DevOps - MLOps,"Rehabitaire - Maadi, Cairo, Egypt 2 months ago","Maadi, Cairo, Egypt ",Experienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · AWS · CI/CD · Cloud · Computer Science · DevOps · Docker · Engineering,2 months ago,https://wuzzuf.net/jobs/p/5w9zqLvpCRlY-DevOps---MLOps-Rehabitaire-Cairo-Egypt
Data Analyst,"Luminar - New Cairo, Cairo, Egypt 2 months ago","New Cairo, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · Analyst/Research · Engineering - Telecom/Technology · Analysis · Analyst · Computer Science · Data Analysis · Data Analyst · Data · Information Technology (IT) · Tableau,2 months ago,https://wuzzuf.net/jobs/p/cZhEcNziXcWL-Data-Analyst-Luminar-Cairo-Egypt
Senior Data Engineer,"Erada - Maadi, Cairo, Egypt 2 months ago","Maadi, Cairo, Egypt ",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · NoSQL · Python · Java · Programming · Software Development,2 months ago,https://wuzzuf.net/jobs/p/iUAnN9ZpOck8-Senior-Data-Engineer-Erada-Cairo-Egypt
Odoo Developer,"TDS - Talents Digital Services. - Giza, Egypt 2 months ago","Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Odoo Development · Odoo ERP · Odoo · python development · ERP Software · ERP Applications,2 months ago,https://wuzzuf.net/jobs/p/knOVzYjsBoqQ-Odoo-Developer-TDS---Talents-Digital-Services-Giza-Egypt
IT OS & Data Base Expert,"Wadi Group - Sheikh Zayed, Giza, Egypt 4 days ago","Sheikh Zayed, Giza, Egypt ",Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Computer Engineering · Computer Science · DBMS · Engineering · Information Technology (IT) · Linux · Oracle · SOA · Software Development,2 months ago,https://wuzzuf.net/jobs/p/63w0ZvCTSOLd-IT-OS-Data-Base-Expert-Wadi-Group-Giza-Egypt
Senior Software Developer,"Gila Electric - Cairo, Egypt 25 days ago","Cairo, Egypt ",Experienced · 4 - 6 Yrs of Exp · Business Development · IT/Software Development · Design · Software Development · Engineering,25 days ago,https://wuzzuf.net/jobs/p/GDUrs6Kf5RMl-Senior-Software-Developer-Gila-Electric-Cairo-Egypt
